ID_Cliente,Fecha_Actividad,Minutos_Uso,Tickets_Soporte
24,2025-04-25,93,0
24,2025-05-25,13,0
24,2025-06-24,73,0
24,2025-07-24,77,2
24,2025-08-23,12,0
24,2025-09-22,17,0
24,2025-10-22,45,0
24,2025-11-21,55,1
24,2025-12-21,90,0
24,2026-01-20,61,0
24,2026-02-19,32,0
24,2026-03-21,11,0
24,2026-04-20,15,0
24,2026-05-20,19,0
25,2024-08-28,3,0
26,2025-04-25,15,0
27,2024-06-29,10,0
28,2024-10-27,2,0
29,2024-05-30,22,0
29,2024-06-29,2,0
29,2024-07-29,18,0
30,2024-10-27,8,0
31,2024-11-26,2,0
32,2024-01-01,6,0
33,2025-05-25,8,0
34,2025-05-25,59,0
34,2025-06-24,38,0
34,2025-07-24,69,0
34,2025-08-23,29,0
34,2025-09-22,25,0
34,2025-10-22,85,1
34,2025-11-21,64,0
34,2025-12-21,13,0
34,2026-01-20,78,0
34,2026-02-19,18,2
34,2026-03-21,9,0
35,2024-10-27,98,0
35,2024-11-26,60,0
35,2024-12-26,56,0
35,2025-01-25,53,0
35,2025-02-24,12,0
35,2025-03-26,15,1
35,2025-04-25,17,0
36,2024-01-31,15,2
37,2025-02-24,74,0
37,2025-03-26,64,1
37,2025-04-25,28,0
37,2025-05-25,84,0
37,2025-06-24,22,0
37,2025-07-24,52,0
37,2025-08-23,69,0
37,2025-09-22,40,0
37,2025-10-22,2,0
37,2025-11-21,17,0
38,2024-03-01,2,0
39,2024-01-31,17,0
40,2025-05-25,11,2
41,2025-05-25,55,0
41,2025-06-24,52,1
41,2025-07-24,14,0
41,2025-08-23,71,0
41,2025-09-22,78,0
41,2025-10-22,85,1
41,2025-11-21,23,0
41,2025-12-21,24,0
41,2026-01-20,65,1
41,2026-02-19,56,0
41,2026-03-21,2,0
41,2026-04-20,4,1
42,2024-07-29,70,0
42,2024-08-28,99,0
42,2024-09-27,39,0
42,2024-10-27,81,0
42,2024-11-26,21,1
42,2024-12-26,78,0
42,2025-01-25,98,0
42,2025-02-24,48,0
42,2025-03-26,25,0
42,2025-04-25,95,0
42,2025-05-25,25,0
42,2025-06-24,10,0
42,2025-07-24,10,1
43,2024-04-30,35,0
43,2024-05-30,10,0
43,2024-06-29,11,0
44,2024-07-29,4,0
45,2024-04-30,9,2
46,2024-03-31,0,0
47,2024-10-27,15,0
48,2024-01-01,4,0
49,2024-09-27,75,0
49,2024-10-27,18,0
49,2024-11-26,68,0
49,2024-12-26,31,0
49,2025-01-25,1,0
49,2025-02-24,0,1
50,2025-04-25,64,1
50,2025-05-25,98,0
50,2025-06-24,45,0
50,2025-07-24,5,0
50,2025-08-23,6,0
51,2024-06-29,13,0
52,2024-11-26,4,0
53,2024-01-31,18,0
54,2024-08-28,10,0
55,2025-04-25,61,0
55,2025-05-25,44,1
55,2025-06-24,59,0
55,2025-07-24,58,0
55,2025-08-23,97,0
55,2025-09-22,96,0
55,2025-10-22,43,0
55,2025-11-21,1,0
55,2025-12-21,11,2
56,2024-09-27,17,0
57,2024-01-31,15,0
58,2025-04-25,10,0
59,2024-09-27,83,1
59,2024-10-27,38,0
59,2024-11-26,29,0
59,2024-12-26,46,0
59,2025-01-25,69,0
59,2025-02-24,26,0
59,2025-03-26,50,0
59,2025-04-25,59,1
59,2025-05-25,97,1
59,2025-06-24,53,0
59,2025-07-24,96,0
59,2025-08-23,18,1
59,2025-09-22,95,0
59,2025-10-22,14,2
59,2025-11-21,0,0
59,2025-12-21,19,0
60,2025-05-25,49,0
60,2025-06-24,32,0
60,2025-07-24,34,0
60,2025-08-23,10,0
60,2025-09-22,94,0
60,2025-10-22,68,1
60,2025-11-21,25,0
60,2025-12-21,12,0
60,2026-01-20,83,0
60,2026-02-19,74,0
60,2026-03-21,80,0
60,2026-04-20,11,0
60,2026-05-20,15,0
61,2024-03-31,15,0
62,2024-08-28,27,1
62,2024-09-27,48,0
62,2024-10-27,15,0
62,2024-11-26,65,0
62,2024-12-26,18,1
62,2025-01-25,18,0
62,2025-02-24,22,1
62,2025-03-26,9,0
62,2025-04-25,14,0
63,2024-09-27,56,0
63,2024-10-27,63,0
63,2024-11-26,21,0
63,2024-12-26,11,2
63,2025-01-25,11,0
64,2024-09-27,16,0
65,2024-12-26,4,0
66,2025-01-25,9,0
67,2024-11-26,5,0
67,2024-12-26,17,0
68,2025-05-25,0,0
69,2024-04-30,19,0
70,2024-11-26,74,0
70,2024-12-26,95,0
70,2025-01-25,78,0
70,2025-02-24,46,0
70,2025-03-26,82,0
70,2025-04-25,24,0
70,2025-05-25,93,0
70,2025-06-24,12,1
70,2025-07-24,10,0
71,2024-12-26,14,1
72,2024-09-27,5,0
73,2024-06-29,74,0
73,2024-07-29,89,0
73,2024-08-28,18,0
73,2024-09-27,1,0
74,2024-05-30,1,0
75,2024-09-27,9,0
76,2024-09-27,60,1
76,2024-10-27,98,0
76,2024-11-26,65,0
76,2024-12-26,26,0
76,2025-01-25,86,0
76,2025-02-24,33,0
76,2025-03-26,55,0
76,2025-04-25,83,0
76,2025-05-25,95,0
76,2025-06-24,99,0
76,2025-07-24,11,0
76,2025-08-23,7,0
76,2025-09-22,13,0
77,2024-01-01,14,0
78,2024-09-27,69,0
78,2024-10-27,56,0
78,2024-11-26,72,0
78,2024-12-26,41,0
78,2025-01-25,14,0
78,2025-02-24,52,0
78,2025-03-26,15,0
78,2025-04-25,16,0
79,2024-01-01,8,1
80,2024-11-26,9,1
81,2024-10-27,10,0
82,2024-12-26,6,1
83,2025-05-25,66,0
83,2025-06-24,11,0
83,2025-07-24,93,0
83,2025-08-23,44,0
83,2025-09-22,26,0
83,2025-10-22,8,1
83,2025-11-21,19,0
84,2024-01-31,47,2
84,2024-03-01,25,0
84,2024-03-31,35,0
84,2024-04-30,89,1
84,2024-05-30,68,1
84,2024-06-29,74,0
84,2024-07-29,95,0
84,2024-08-28,13,2
84,2024-09-27,31,0
84,2024-10-27,81,0
84,2024-11-26,44,0
84,2024-12-26,72,0
84,2025-01-25,11,0
84,2025-02-24,4,0
85,2024-03-31,29,0
85,2024-04-30,43,2
85,2024-05-30,56,2
85,2024-06-29,67,0
85,2024-07-29,19,0
85,2024-08-28,16,0
86,2025-02-24,2,0
87,2024-04-30,44,0
87,2024-05-30,87,0
87,2024-06-29,85,0
87,2024-07-29,62,0
87,2024-08-28,46,0
87,2024-09-27,31,0
87,2024-10-27,78,1
87,2024-11-26,34,0
87,2024-12-26,60,0
87,2025-01-25,58,0
87,2025-02-24,23,0
87,2025-03-26,25,2
87,2025-04-25,9,1
87,2025-05-25,0,0
88,2024-05-30,2,0
89,2024-01-01,1,0
90,2024-03-01,65,0
90,2024-03-31,84,0
90,2024-04-30,64,1
90,2024-05-30,58,0
90,2024-06-29,76,0
90,2024-07-29,18,1
90,2024-08-28,9,0
91,2024-03-01,3,0
92,2024-01-01,10,0
93,2025-05-25,18,1
94,2024-05-30,70,1
94,2024-06-29,67,0
94,2024-07-29,73,1
94,2024-08-28,36,0
94,2024-09-27,10,0
94,2024-10-27,67,2
94,2024-11-26,76,0
94,2024-12-26,87,0
94,2025-01-25,72,0
94,2025-02-24,13,2
94,2025-03-26,2,0
95,2025-01-25,4,1
96,2024-03-31,4,0
97,2025-05-25,3,0
97,2025-06-24,8,0
98,2024-03-31,7,0
98,2024-04-30,15,0
99,2025-02-24,11,0
100,2025-02-24,21,0
100,2025-03-26,31,0
100,2025-04-25,86,0
100,2025-05-25,70,2
100,2025-06-24,14,0
100,2025-07-24,96,0
100,2025-08-23,48,0
100,2025-09-22,34,1
100,2025-10-22,91,0
100,2025-11-21,6,0
100,2025-12-21,6,0
101,2025-04-25,78,0
101,2025-05-25,91,0
101,2025-06-24,18,0
101,2025-07-24,2,0
101,2025-08-23,1,1
102,2024-06-29,14,0
102,2024-07-29,6,0
103,2024-04-30,8,0
104,2024-11-26,8,1
105,2024-11-26,1,1
106,2025-05-25,2,0
107,2025-03-26,17,0
108,2024-10-27,5,0
109,2025-03-26,17,0
110,2024-07-29,14,0
111,2024-03-31,2,0
112,2024-12-26,13,0
113,2024-03-01,83,0
113,2024-03-31,54,0
113,2024-04-30,62,1
113,2024-05-30,32,0
113,2024-06-29,10,0
113,2024-07-29,95,0
113,2024-08-28,84,0
113,2024-09-27,4,0
113,2024-10-27,0,0
114,2024-03-31,36,1
114,2024-04-30,68,0
114,2024-05-30,27,0
114,2024-06-29,35,0
114,2024-07-29,78,1
114,2024-08-28,16,0
114,2024-09-27,14,1
115,2024-01-31,4,0
116,2024-03-31,19,0
116,2024-04-30,94,0
116,2024-05-30,30,1
116,2024-06-29,14,0
116,2024-07-29,22,0
116,2024-08-28,65,0
116,2024-09-27,72,0
116,2024-10-27,35,0
116,2024-11-26,75,0
116,2024-12-26,97,2
116,2025-01-25,10,1
116,2025-02-24,13,0
117,2024-08-28,4,0
118,2024-08-28,8,0
119,2024-03-01,9,1
120,2024-11-26,12,0
120,2024-12-26,5,0
120,2025-01-25,2,0
121,2024-01-01,85,0
121,2024-01-31,10,0
121,2024-03-01,24,0
121,2024-03-31,97,1
121,2024-04-30,16,0
121,2024-05-30,1,0
122,2024-05-30,16,0
123,2024-05-30,9,0
124,2024-07-29,19,0
124,2024-08-28,48,1
124,2024-09-27,16,0
124,2024-10-27,29,0
124,2024-11-26,39,0
124,2024-12-26,72,0
124,2025-01-25,71,0
124,2025-02-24,17,0
124,2025-03-26,18,0
124,2025-04-25,12,0
125,2024-12-26,96,0
125,2025-01-25,61,0
125,2025-02-24,94,2
125,2025-03-26,24,2
125,2025-04-25,0,0
125,2025-05-25,9,0
126,2024-11-26,6,0
127,2024-01-31,79,0
127,2024-03-01,6,0
127,2024-03-31,4,0
128,2024-07-29,13,0
128,2024-08-28,18,2
129,2024-08-28,14,0
130,2024-01-31,11,0
131,2024-10-27,9,0
132,2024-12-26,79,1
132,2025-01-25,68,0
132,2025-02-24,65,0
132,2025-03-26,55,0
132,2025-04-25,67,0
132,2025-05-25,34,0
132,2025-06-24,52,0
132,2025-07-24,55,1
132,2025-08-23,49,0
132,2025-09-22,15,0
132,2025-10-22,13,0
133,2024-11-26,18,0
134,2024-06-29,55,0
134,2024-07-29,35,0
134,2024-08-28,50,2
134,2024-09-27,59,0
134,2024-10-27,19,0
134,2024-11-26,16,1
135,2024-01-31,18,0
136,2024-06-29,6,1
137,2024-10-27,16,0
138,2024-03-01,55,0
138,2024-03-31,25,2
138,2024-04-30,81,0
138,2024-05-30,55,2
138,2024-06-29,82,0
138,2024-07-29,80,1
138,2024-08-28,81,0
138,2024-09-27,18,0
138,2024-10-27,65,0
138,2024-11-26,26,1
138,2024-12-26,12,0
138,2025-01-25,90,1
138,2025-02-24,83,0
138,2025-03-26,93,0
138,2025-04-25,14,0
138,2025-05-25,15,1
139,2024-10-27,63,0
139,2024-11-26,57,0
139,2024-12-26,29,0
139,2025-01-25,23,0
139,2025-02-24,16,0
139,2025-03-26,74,0
139,2025-04-25,93,0
139,2025-05-25,19,0
139,2025-06-24,73,0
139,2025-07-24,23,1
139,2025-08-23,18,1
139,2025-09-22,7,0
140,2024-09-27,78,0
140,2024-10-27,24,0
140,2024-11-26,82,0
140,2024-12-26,32,0
140,2025-01-25,4,0
140,2025-02-24,5,0
141,2024-12-26,46,0
141,2025-01-25,80,0
141,2025-02-24,85,0
141,2025-03-26,83,1
141,2025-04-25,56,0
141,2025-05-25,88,1
141,2025-06-24,77,2
141,2025-07-24,11,0
141,2025-08-23,1,0
142,2025-04-25,19,0
143,2024-11-26,18,0
143,2024-12-26,49,0
143,2025-01-25,83,0
143,2025-02-24,40,0
143,2025-03-26,31,0
143,2025-04-25,75,0
143,2025-05-25,38,0
143,2025-06-24,25,0
143,2025-07-24,64,1
143,2025-08-23,70,1
143,2025-09-22,96,1
143,2025-10-22,28,0
143,2025-11-21,19,0
143,2025-12-21,8,0
144,2024-03-01,17,0
145,2024-08-28,11,0
146,2024-11-26,48,0
146,2024-12-26,75,0
146,2025-01-25,16,1
146,2025-02-24,89,1
146,2025-03-26,69,0
146,2025-04-25,79,0
146,2025-05-25,99,0
146,2025-06-24,14,0
146,2025-07-24,54,2
146,2025-08-23,25,0
146,2025-09-22,7,0
146,2025-10-22,0,0
147,2024-11-26,15,1
147,2024-12-26,72,0
147,2025-01-25,10,0
147,2025-02-24,47,0
147,2025-03-26,8,0
147,2025-04-25,3,0
148,2024-09-27,13,0
149,2024-10-27,19,0
150,2025-02-24,1,0
151,2024-07-29,15,0
152,2024-11-26,44,1
152,2024-12-26,60,0
152,2025-01-25,90,0
152,2025-02-24,43,2
152,2025-03-26,58,0
152,2025-04-25,30,0
152,2025-05-25,18,0
152,2025-06-24,18,1
153,2024-04-30,19,0
154,2024-10-27,7,0
155,2025-02-24,14,0
156,2024-04-30,1,0
157,2024-09-27,32,0
157,2024-10-27,91,0
157,2024-11-26,80,0
157,2024-12-26,22,0
157,2025-01-25,25,0
157,2025-02-24,60,0
157,2025-03-26,10,0
157,2025-04-25,13,0
158,2025-02-24,0,0
159,2024-04-30,27,0
159,2024-05-30,14,0
159,2024-06-29,53,0
159,2024-07-29,94,0
159,2024-08-28,59,0
159,2024-09-27,40,0
159,2024-10-27,91,0
159,2024-11-26,22,0
159,2024-12-26,17,0
159,2025-01-25,10,1
160,2024-11-26,3,0
161,2024-12-26,17,2
162,2024-06-29,11,0
163,2024-07-29,78,0
163,2024-08-28,98,0
163,2024-09-27,10,1
163,2024-10-27,27,0
163,2024-11-26,37,0
163,2024-12-26,97,2
163,2025-01-25,73,0
163,2025-02-24,6,0
163,2025-03-26,4,0
164,2024-06-29,38,1
164,2024-07-29,78,0
164,2024-08-28,41,0
164,2024-09-27,74,0
164,2024-10-27,90,0
164,2024-11-26,91,0
164,2024-12-26,37,1
164,2025-01-25,85,0
164,2025-02-24,90,0
164,2025-03-26,12,0
164,2025-04-25,12,0
164,2025-05-25,6,0
165,2025-03-26,41,0
165,2025-04-25,70,0
165,2025-05-25,82,0
165,2025-06-24,28,0
165,2025-07-24,39,0
165,2025-08-23,75,0
165,2025-09-22,44,0
165,2025-10-22,33,0
165,2025-11-21,37,0
165,2025-12-21,30,0
165,2026-01-20,1,0
165,2026-02-19,17,0
166,2025-04-25,17,0
167,2025-01-25,97,1
167,2025-02-24,33,0
167,2025-03-26,70,1
167,2025-04-25,35,0
167,2025-05-25,35,1
167,2025-06-24,14,0
167,2025-07-24,13,1
168,2024-10-27,9,2
169,2025-02-24,12,0
170,2024-01-31,0,0
171,2024-07-29,15,0
172,2025-04-25,90,0
172,2025-05-25,85,1
172,2025-06-24,38,0
172,2025-07-24,99,0
172,2025-08-23,17,0
172,2025-09-22,10,1
172,2025-10-22,23,0
172,2025-11-21,97,2
172,2025-12-21,82,0
172,2026-01-20,67,0
172,2026-02-19,30,0
172,2026-03-21,13,0
172,2026-04-20,1,0
172,2026-05-20,11,0
173,2025-05-25,3,0
174,2024-11-26,90,0
174,2024-12-26,23,0
174,2025-01-25,22,0
174,2025-02-24,70,0
174,2025-03-26,90,1
174,2025-04-25,10,0
174,2025-05-25,16,0
175,2024-11-26,62,0
175,2024-12-26,49,0
175,2025-01-25,59,0
175,2025-02-24,94,1
175,2025-03-26,84,0
175,2025-04-25,66,1
175,2025-05-25,43,1
175,2025-06-24,79,0
175,2025-07-24,2,0
175,2025-08-23,0,1
176,2024-05-30,24,0
176,2024-06-29,91,0
176,2024-07-29,77,0
176,2024-08-28,1,0
176,2024-09-27,11,0
177,2024-11-26,32,0
177,2024-12-26,14,0
177,2025-01-25,14,0
178,2024-03-31,33,0
178,2024-04-30,28,0
178,2024-05-30,26,0
178,2024-06-29,56,0
178,2024-07-29,10,0
178,2024-08-28,32,2
178,2024-09-27,39,0
178,2024-10-27,8,0
178,2024-11-26,6,0
179,2024-06-29,75,0
179,2024-07-29,39,1
179,2024-08-28,58,0
179,2024-09-27,20,0
179,2024-10-27,37,0
179,2024-11-26,74,0
179,2024-12-26,85,0
179,2025-01-25,83,0
179,2025-02-24,19,0
179,2025-03-26,13,0
180,2024-09-27,11,1
181,2024-06-29,4,0
182,2024-03-31,1,2
183,2025-03-26,51,0
183,2025-04-25,19,0
183,2025-05-25,93,0
183,2025-06-24,96,0
183,2025-07-24,91,2
183,2025-08-23,52,0
183,2025-09-22,37,0
183,2025-10-22,91,0
183,2025-11-21,35,0
183,2025-12-21,20,0
183,2026-01-20,78,0
183,2026-02-19,39,0
183,2026-03-21,95,0
183,2026-04-20,3,0
183,2026-05-20,8,0
184,2025-03-26,65,0
184,2025-04-25,70,1
184,2025-05-25,30,0
184,2025-06-24,26,0
184,2025-07-24,77,0
184,2025-08-23,98,0
184,2025-09-22,74,0
184,2025-10-22,86,0
184,2025-11-21,24,1
184,2025-12-21,54,0
184,2026-01-20,30,0
184,2026-02-19,75,0
184,2026-03-21,14,0
184,2026-04-20,7,0
185,2024-12-26,0,0
186,2024-12-26,63,0
186,2025-01-25,31,0
186,2025-02-24,45,0
186,2025-03-26,93,0
186,2025-04-25,65,0
186,2025-05-25,77,0
186,2025-06-24,69,0
186,2025-07-24,89,0
186,2025-08-23,85,0
186,2025-09-22,26,0
186,2025-10-22,13,2
186,2025-11-21,16,0
187,2024-03-31,12,0
188,2025-01-25,2,0
189,2024-01-01,18,1
190,2024-08-28,5,1
191,2024-12-26,11,0
192,2025-01-25,19,0
193,2024-10-27,7,0
194,2025-05-25,85,0
194,2025-06-24,71,0
194,2025-07-24,32,0
194,2025-08-23,53,0
194,2025-09-22,9,1
194,2025-10-22,13,0
195,2024-10-27,12,0
196,2025-03-26,11,2
197,2024-06-29,39,0
197,2024-07-29,88,1
197,2024-08-28,95,0
197,2024-09-27,85,0
197,2024-10-27,83,1
197,2024-11-26,83,0
197,2024-12-26,72,0
197,2025-01-25,5,1
197,2025-02-24,9,0
198,2025-01-25,9,0
199,2024-04-30,38,0
199,2024-05-30,62,0
199,2024-06-29,35,1
199,2024-07-29,63,0
199,2024-08-28,81,0
199,2024-09-27,1,0
199,2024-10-27,17,1
200,2024-12-26,17,0
200,2025-01-25,23,0
200,2025-02-24,64,0
200,2025-03-26,12,0
200,2025-04-25,6,0
201,2024-01-31,36,0
201,2024-03-01,90,0
201,2024-03-31,14,0
201,2024-04-30,40,0
201,2024-05-30,4,1
201,2024-06-29,10,0
202,2024-10-27,92,1
202,2024-11-26,57,0
202,2024-12-26,91,1
202,2025-01-25,45,1
202,2025-02-24,34,0
202,2025-03-26,55,1
202,2025-04-25,76,0
202,2025-05-25,65,0
202,2025-06-24,19,0
202,2025-07-24,42,0
202,2025-08-23,63,0
202,2025-09-22,57,0
202,2025-10-22,8,0
202,2025-11-21,15,1
203,2024-01-01,49,0
203,2024-01-31,36,0
203,2024-03-01,79,1
203,2024-03-31,82,0
203,2024-04-30,86,0
203,2024-05-30,98,0
203,2024-06-29,32,0
203,2024-07-29,83,1
203,2024-08-28,12,0
203,2024-09-27,75,0
203,2024-10-27,12,0
203,2024-11-26,36,0
203,2024-12-26,19,0
203,2025-01-25,9,2
204,2025-02-24,16,0
204,2025-03-26,88,0
204,2025-04-25,85,0
204,2025-05-25,89,1
204,2025-06-24,28,0
204,2025-07-24,52,0
204,2025-08-23,96,0
204,2025-09-22,58,0
204,2025-10-22,77,0
204,2025-11-21,59,0
204,2025-12-21,5,0
204,2026-01-20,19,0
205,2025-05-25,9,0
206,2024-10-27,46,0
206,2024-11-26,69,0
206,2024-12-26,77,0
206,2025-01-25,91,0
206,2025-02-24,74,0
206,2025-03-26,13,1
206,2025-04-25,71,2
206,2025-05-25,57,0
206,2025-06-24,26,0
206,2025-07-24,52,0
206,2025-08-23,31,0
206,2025-09-22,37,1
206,2025-10-22,83,0
206,2025-11-21,16,2
206,2025-12-21,12,0
207,2025-01-25,14,1
208,2024-03-01,3,2
209,2024-11-26,66,0
209,2024-12-26,13,2
209,2025-01-25,37,0
209,2025-02-24,84,0
209,2025-03-26,50,0
209,2025-04-25,77,0
209,2025-05-25,60,0
209,2025-06-24,20,0
209,2025-07-24,26,1
209,2025-08-23,6,2
209,2025-09-22,11,0
210,2024-07-29,14,0
211,2025-02-24,15,0
212,2024-06-29,16,0
213,2024-01-31,6,0
214,2024-11-26,13,0
215,2024-11-26,13,0
216,2024-01-31,6,2
217,2024-09-27,1,0
218,2025-01-25,8,0
219,2025-04-25,2,0
220,2025-03-26,7,0
221,2024-11-26,90,0
221,2024-12-26,13,0
221,2025-01-25,68,0
221,2025-02-24,83,0
221,2025-03-26,10,0
221,2025-04-25,49,0
221,2025-05-25,14,0
221,2025-06-24,68,0
221,2025-07-24,58,0
221,2025-08-23,80,0
221,2025-09-22,23,0
221,2025-10-22,56,0
221,2025-11-21,55,0
221,2025-12-21,12,0
221,2026-01-20,2,0
222,2025-05-25,18,0
223,2025-01-25,18,0
224,2024-08-28,10,0
225,2024-03-31,91,0
225,2024-04-30,15,1
225,2024-05-30,98,0
225,2024-06-29,8,0
225,2024-07-29,14,0
226,2024-01-31,32,0
226,2024-03-01,23,0
226,2024-03-31,39,1
226,2024-04-30,18,0
226,2024-05-30,51,0
226,2024-06-29,37,0
226,2024-07-29,95,0
226,2024-08-28,11,0
226,2024-09-27,58,1
226,2024-10-27,72,0
226,2024-11-26,17,0
226,2024-12-26,5,0
227,2025-03-26,15,0
227,2025-04-25,20,0
227,2025-05-25,82,0
227,2025-06-24,12,0
227,2025-07-24,75,0
227,2025-08-23,48,0
227,2025-09-22,31,1
227,2025-10-22,81,2
227,2025-11-21,24,0
227,2025-12-21,55,0
227,2026-01-20,41,0
227,2026-02-19,16,0
227,2026-03-21,14,0
228,2024-01-01,2,0
229,2025-01-25,56,0
229,2025-02-24,74,0
229,2025-03-26,86,0
229,2025-04-25,64,0
229,2025-05-25,4,1
229,2025-06-24,16,2
230,2025-05-25,69,0
230,2025-06-24,40,0
230,2025-07-24,94,1
230,2025-08-23,61,0
230,2025-09-22,9,0
230,2025-10-22,4,1
231,2024-06-29,86,0
231,2024-07-29,53,0
231,2024-08-28,24,0
231,2024-09-27,67,0
231,2024-10-27,61,0
231,2024-11-26,26,0
231,2024-12-26,18,0
231,2025-01-25,4,0
232,2025-05-25,1,0
233,2024-04-30,77,1
233,2024-05-30,67,0
233,2024-06-29,80,0
233,2024-07-29,76,0
233,2024-08-28,75,0
233,2024-09-27,66,0
233,2024-10-27,26,0
233,2024-11-26,79,0
233,2024-12-26,52,0
233,2025-01-25,37,0
233,2025-02-24,71,0
233,2025-03-26,13,0
233,2025-04-25,16,0
234,2024-08-28,93,0
234,2024-09-27,18,0
234,2024-10-27,43,0
234,2024-11-26,69,2
234,2024-12-26,88,0
234,2025-01-25,64,1
234,2025-02-24,23,0
234,2025-03-26,47,2
234,2025-04-25,41,0
234,2025-05-25,84,0
234,2025-06-24,65,2
234,2025-07-24,91,0
234,2025-08-23,12,0
234,2025-09-22,3,0
235,2024-03-01,12,0
236,2024-04-30,64,0
236,2024-05-30,56,0
236,2024-06-29,26,1
236,2024-07-29,33,0
236,2024-08-28,93,0
236,2024-09-27,96,0
236,2024-10-27,36,0
236,2024-11-26,4,0
236,2024-12-26,12,0
237,2024-11-26,52,0
237,2024-12-26,99,0
237,2025-01-25,43,1
237,2025-02-24,84,0
237,2025-03-26,15,0
237,2025-04-25,8,0
238,2024-05-30,65,0
238,2024-06-29,18,1
238,2024-07-29,93,1
238,2024-08-28,70,0
238,2024-09-27,26,0
238,2024-10-27,62,0
238,2024-11-26,54,0
238,2024-12-26,54,0
238,2025-01-25,12,2
238,2025-02-24,14,1
239,2024-10-27,14,0
240,2024-03-01,2,0
241,2024-12-26,17,0
242,2024-01-31,12,0
243,2024-10-27,12,0
244,2025-05-25,64,0
244,2025-06-24,53,0
244,2025-07-24,48,0
244,2025-08-23,28,0
244,2025-09-22,39,0
244,2025-10-22,65,0
244,2025-11-21,99,0
244,2025-12-21,78,0
244,2026-01-20,97,0
244,2026-02-19,40,0
244,2026-03-21,93,0
244,2026-04-20,75,0
244,2026-05-20,13,0
244,2026-06-19,8,0
245,2025-05-25,49,1
245,2025-06-24,87,0
245,2025-07-24,73,0
245,2025-08-23,98,0
245,2025-09-22,75,0
245,2025-10-22,79,1
245,2025-11-21,84,0
245,2025-12-21,30,1
245,2026-01-20,13,0
245,2026-02-19,12,0
246,2024-03-01,53,1
246,2024-03-31,17,0
246,2024-04-30,12,0
247,2025-05-25,0,0
247,2025-06-24,9,2
248,2025-02-24,18,0
249,2024-11-26,7,0
250,2024-06-29,12,1
251,2024-05-30,8,0
