Fecha,ID_Producto,ID_Almacen,Tipo_Movimiento,Cantidad
2025-01-02,PROD046,ALM02,Entrada,107
2025-01-02,PROD015,ALM02,Salida,23
2025-01-03,PROD025,ALM02,Salida,22
2025-01-03,PROD022,ALM01,Salida,22
2025-01-03,PROD015,ALM02,Entrada,169
2025-01-03,PROD033,ALM01,Salida,5
2025-01-03,PROD005,ALM03,Salida,12
2025-01-03,PROD032,ALM02,Entrada,208
2025-01-03,PROD040,ALM01,Salida,23
2025-01-03,PROD030,ALM03,Devolución,10
2025-01-03,PROD028,ALM02,Salida,19
2025-01-03,PROD023,ALM03,Entrada,216
2025-01-03,PROD001,ALM02,Salida,21
2025-01-04,PROD048,ALM01,Salida,22
2025-01-04,PROD001,ALM01,Salida,21
2025-01-04,PROD022,ALM01,Salida,5
2025-01-04,PROD026,ALM03,Salida,12
2025-01-04,PROD028,ALM01,Salida,14
2025-01-04,PROD046,ALM02,Entrada,193
2025-01-04,PROD016,ALM02,Salida,12
2025-01-04,PROD039,ALM01,Salida,21
2025-01-04,PROD023,ALM02,Salida,5
2025-01-04,PROD036,ALM02,Salida,5
2025-01-05,PROD032,ALM01,Salida,19
2025-01-05,PROD004,ALM03,Salida,13
2025-01-05,PROD024,ALM02,Devolución,20
2025-01-05,PROD033,ALM01,Salida,1
2025-01-05,PROD012,ALM03,Salida,5
2025-01-05,PROD010,ALM03,Salida,8
2025-01-05,PROD012,ALM03,Entrada,240
2025-01-05,PROD050,ALM03,Salida,19
2025-01-05,PROD029,ALM02,Salida,8
2025-01-05,PROD041,ALM03,Salida,2
2025-01-05,PROD045,ALM03,Entrada,213
2025-01-05,PROD025,ALM01,Salida,4
2025-01-05,PROD010,ALM01,Devolución,4
2025-01-05,PROD049,ALM03,Salida,3
2025-01-05,PROD049,ALM03,Salida,18
2025-01-05,PROD032,ALM01,Salida,23
2025-01-05,PROD013,ALM03,Salida,23
2025-01-05,PROD030,ALM01,Salida,9
2025-01-05,PROD048,ALM01,Salida,20
2025-01-05,PROD049,ALM01,Salida,19
2025-01-05,PROD009,ALM03,Devolución,12
2025-01-05,PROD019,ALM02,Devolución,20
2025-01-05,PROD005,ALM03,Salida,21
2025-01-05,PROD021,ALM01,Salida,20
2025-01-05,PROD045,ALM01,Salida,7
2025-01-05,PROD014,ALM03,Salida,7
2025-01-05,PROD023,ALM01,Entrada,262
2025-01-05,PROD047,ALM01,Salida,18
2025-01-05,PROD017,ALM01,Salida,12
2025-01-06,PROD040,ALM02,Entrada,240
2025-01-06,PROD005,ALM01,Salida,2
2025-01-06,PROD008,ALM01,Entrada,182
2025-01-06,PROD017,ALM03,Salida,20
2025-01-06,PROD004,ALM02,Devolución,13
2025-01-06,PROD044,ALM02,Salida,19
2025-01-06,PROD026,ALM03,Salida,10
2025-01-06,PROD045,ALM01,Entrada,294
2025-01-06,PROD028,ALM01,Salida,20
2025-01-06,PROD001,ALM03,Salida,7
2025-01-06,PROD025,ALM01,Salida,17
2025-01-06,PROD044,ALM01,Salida,6
2025-01-06,PROD021,ALM02,Devolución,15
2025-01-06,PROD036,ALM03,Devolución,5
2025-01-06,PROD047,ALM01,Salida,18
2025-01-07,PROD003,ALM03,Salida,1
2025-01-07,PROD010,ALM02,Entrada,111
2025-01-07,PROD008,ALM02,Salida,21
2025-01-07,PROD008,ALM02,Entrada,189
2025-01-07,PROD041,ALM03,Salida,5
2025-01-07,PROD009,ALM01,Salida,17
2025-01-07,PROD028,ALM01,Salida,13
2025-01-07,PROD006,ALM02,Entrada,134
2025-01-07,PROD047,ALM01,Salida,5
2025-01-07,PROD030,ALM02,Salida,24
2025-01-07,PROD033,ALM02,Salida,5
2025-01-07,PROD049,ALM03,Salida,15
2025-01-07,PROD027,ALM01,Salida,22
2025-01-07,PROD041,ALM03,Salida,2
2025-01-07,PROD048,ALM03,Entrada,248
2025-01-07,PROD005,ALM03,Salida,17
2025-01-07,PROD023,ALM01,Salida,3
2025-01-07,PROD010,ALM03,Salida,10
2025-01-07,PROD009,ALM02,Salida,14
2025-01-07,PROD013,ALM02,Salida,13
2025-01-07,PROD032,ALM02,Salida,8
2025-01-07,PROD039,ALM02,Salida,8
2025-01-07,PROD003,ALM03,Salida,22
2025-01-07,PROD044,ALM01,Salida,1
2025-01-07,PROD017,ALM03,Entrada,156
2025-01-07,PROD014,ALM02,Entrada,184
2025-01-08,PROD034,ALM02,Salida,6
2025-01-08,PROD030,ALM03,Salida,18
2025-01-08,PROD038,ALM01,Salida,2
2025-01-08,PROD042,ALM03,Salida,23
2025-01-08,PROD010,ALM01,Salida,4
2025-01-08,PROD024,ALM01,Salida,20
2025-01-08,PROD002,ALM01,Devolución,21
2025-01-08,PROD048,ALM03,Salida,11
2025-01-08,PROD016,ALM03,Entrada,250
2025-01-08,PROD008,ALM01,Salida,16
2025-01-08,PROD027,ALM01,Salida,3
2025-01-08,PROD019,ALM01,Devolución,19
2025-01-08,PROD042,ALM01,Entrada,191
2025-01-08,PROD001,ALM01,Entrada,169
2025-01-08,PROD034,ALM01,Salida,14
2025-01-08,PROD027,ALM01,Salida,13
2025-01-08,PROD022,ALM03,Entrada,146
2025-01-08,PROD048,ALM01,Salida,11
2025-01-08,PROD001,ALM01,Entrada,135
2025-01-08,PROD015,ALM03,Salida,20
2025-01-09,PROD014,ALM02,Salida,23
2025-01-09,PROD007,ALM03,Salida,14
2025-01-09,PROD043,ALM03,Salida,14
2025-01-09,PROD038,ALM03,Entrada,117
2025-01-09,PROD037,ALM02,Salida,23
2025-01-09,PROD039,ALM02,Salida,17
2025-01-09,PROD025,ALM01,Salida,12
2025-01-09,PROD010,ALM03,Salida,4
2025-01-09,PROD047,ALM03,Salida,18
2025-01-09,PROD008,ALM01,Salida,15
2025-01-09,PROD041,ALM01,Salida,10
2025-01-09,PROD045,ALM02,Salida,2
2025-01-09,PROD022,ALM01,Salida,1
2025-01-09,PROD004,ALM02,Entrada,211
2025-01-09,PROD030,ALM03,Entrada,161
2025-01-09,PROD003,ALM03,Entrada,236
2025-01-09,PROD024,ALM03,Entrada,135
2025-01-09,PROD028,ALM03,Salida,20
2025-01-09,PROD049,ALM02,Salida,6
2025-01-09,PROD002,ALM03,Entrada,278
2025-01-09,PROD045,ALM01,Salida,19
2025-01-09,PROD004,ALM03,Entrada,217
2025-01-09,PROD049,ALM03,Entrada,119
2025-01-10,PROD037,ALM02,Salida,6
2025-01-10,PROD013,ALM03,Entrada,199
2025-01-10,PROD050,ALM02,Salida,6
2025-01-10,PROD044,ALM02,Salida,10
2025-01-10,PROD020,ALM01,Salida,2
2025-01-10,PROD017,ALM01,Entrada,172
2025-01-10,PROD038,ALM03,Salida,24
2025-01-10,PROD005,ALM02,Salida,17
2025-01-10,PROD014,ALM01,Salida,18
2025-01-10,PROD034,ALM03,Salida,9
2025-01-11,PROD029,ALM03,Devolución,22
2025-01-11,PROD030,ALM03,Salida,14
2025-01-11,PROD019,ALM03,Entrada,104
2025-01-11,PROD025,ALM01,Salida,4
2025-01-11,PROD040,ALM03,Salida,18
2025-01-11,PROD038,ALM01,Salida,19
2025-01-11,PROD033,ALM01,Salida,15
2025-01-11,PROD002,ALM02,Salida,15
2025-01-11,PROD039,ALM03,Entrada,203
2025-01-11,PROD007,ALM03,Salida,3
2025-01-11,PROD015,ALM03,Salida,20
2025-01-11,PROD030,ALM03,Salida,20
2025-01-12,PROD037,ALM03,Devolución,1
2025-01-12,PROD022,ALM02,Salida,4
2025-01-12,PROD033,ALM02,Salida,10
2025-01-12,PROD036,ALM01,Salida,15
2025-01-12,PROD015,ALM01,Entrada,283
2025-01-12,PROD004,ALM01,Salida,15
2025-01-12,PROD036,ALM02,Salida,19
2025-01-12,PROD020,ALM03,Salida,5
2025-01-12,PROD038,ALM02,Devolución,8
2025-01-12,PROD026,ALM02,Salida,15
2025-01-12,PROD040,ALM02,Salida,13
2025-01-12,PROD040,ALM03,Entrada,210
2025-01-12,PROD048,ALM01,Devolución,4
2025-01-13,PROD049,ALM03,Salida,10
2025-01-13,PROD029,ALM02,Salida,22
2025-01-13,PROD011,ALM03,Devolución,22
2025-01-13,PROD021,ALM02,Entrada,200
2025-01-13,PROD023,ALM01,Salida,22
2025-01-13,PROD040,ALM03,Salida,22
2025-01-13,PROD009,ALM02,Salida,9
2025-01-13,PROD026,ALM01,Salida,21
2025-01-13,PROD026,ALM03,Entrada,124
2025-01-13,PROD018,ALM03,Devolución,7
2025-01-13,PROD043,ALM03,Salida,17
2025-01-13,PROD024,ALM01,Salida,19
2025-01-13,PROD024,ALM01,Salida,6
2025-01-13,PROD022,ALM02,Salida,11
2025-01-14,PROD017,ALM01,Salida,7
2025-01-14,PROD022,ALM03,Entrada,217
2025-01-14,PROD007,ALM01,Devolución,17
2025-01-14,PROD019,ALM02,Salida,23
2025-01-14,PROD045,ALM01,Salida,17
2025-01-14,PROD019,ALM02,Salida,8
2025-01-14,PROD047,ALM02,Salida,19
2025-01-14,PROD050,ALM02,Salida,17
2025-01-14,PROD001,ALM01,Salida,4
2025-01-14,PROD032,ALM02,Entrada,230
2025-01-14,PROD034,ALM01,Salida,14
2025-01-14,PROD050,ALM03,Entrada,131
2025-01-14,PROD003,ALM03,Salida,1
2025-01-14,PROD047,ALM01,Salida,8
2025-01-14,PROD028,ALM03,Entrada,196
2025-01-14,PROD032,ALM02,Salida,3
2025-01-14,PROD043,ALM01,Salida,14
2025-01-14,PROD031,ALM03,Entrada,241
2025-01-14,PROD010,ALM03,Salida,7
2025-01-14,PROD019,ALM01,Salida,21
2025-01-14,PROD002,ALM01,Salida,18
2025-01-14,PROD011,ALM02,Salida,20
2025-01-14,PROD023,ALM03,Salida,3
2025-01-14,PROD037,ALM02,Salida,5
2025-01-14,PROD034,ALM01,Salida,9
2025-01-14,PROD022,ALM01,Salida,20
2025-01-14,PROD046,ALM03,Salida,24
2025-01-15,PROD014,ALM01,Salida,17
2025-01-15,PROD025,ALM03,Salida,13
2025-01-15,PROD043,ALM02,Salida,22
2025-01-15,PROD034,ALM03,Devolución,13
2025-01-15,PROD018,ALM01,Salida,6
2025-01-15,PROD038,ALM02,Salida,9
2025-01-15,PROD012,ALM03,Salida,6
2025-01-15,PROD021,ALM03,Entrada,185
2025-01-15,PROD027,ALM02,Devolución,6
2025-01-15,PROD007,ALM02,Salida,21
2025-01-15,PROD028,ALM02,Devolución,21
2025-01-15,PROD043,ALM01,Salida,2
2025-01-15,PROD026,ALM01,Entrada,135
2025-01-15,PROD011,ALM01,Salida,8
2025-01-15,PROD035,ALM02,Salida,8
2025-01-15,PROD024,ALM02,Salida,15
2025-01-15,PROD033,ALM02,Entrada,155
2025-01-15,PROD019,ALM03,Entrada,247
2025-01-15,PROD045,ALM03,Salida,17
2025-01-15,PROD009,ALM01,Salida,2
2025-01-15,PROD025,ALM01,Salida,1
2025-01-15,PROD025,ALM03,Salida,10
2025-01-15,PROD044,ALM03,Entrada,207
2025-01-15,PROD012,ALM03,Salida,2
2025-01-15,PROD017,ALM02,Salida,17
2025-01-15,PROD047,ALM02,Salida,17
2025-01-16,PROD031,ALM01,Salida,8
2025-01-16,PROD016,ALM02,Salida,5
2025-01-16,PROD025,ALM03,Devolución,18
2025-01-16,PROD045,ALM02,Salida,9
2025-01-16,PROD016,ALM03,Entrada,109
2025-01-16,PROD022,ALM02,Devolución,21
2025-01-16,PROD007,ALM01,Salida,15
2025-01-16,PROD050,ALM03,Entrada,171
2025-01-16,PROD031,ALM02,Devolución,18
2025-01-16,PROD042,ALM03,Entrada,245
2025-01-16,PROD024,ALM03,Entrada,258
2025-01-16,PROD034,ALM03,Salida,13
2025-01-16,PROD026,ALM03,Salida,8
2025-01-16,PROD015,ALM01,Salida,7
2025-01-16,PROD025,ALM01,Salida,22
2025-01-16,PROD045,ALM02,Salida,16
2025-01-16,PROD035,ALM02,Salida,2
2025-01-16,PROD013,ALM01,Devolución,23
2025-01-16,PROD039,ALM02,Salida,3
2025-01-16,PROD029,ALM02,Salida,17
2025-01-16,PROD044,ALM03,Salida,16
2025-01-16,PROD020,ALM01,Salida,7
2025-01-16,PROD003,ALM01,Salida,17
2025-01-16,PROD004,ALM02,Salida,18
2025-01-16,PROD001,ALM01,Salida,16
2025-01-17,PROD049,ALM01,Entrada,242
2025-01-17,PROD037,ALM01,Salida,12
2025-01-17,PROD039,ALM03,Salida,6
2025-01-17,PROD013,ALM02,Devolución,11
2025-01-17,PROD004,ALM03,Entrada,151
2025-01-17,PROD045,ALM02,Salida,22
2025-01-17,PROD026,ALM01,Salida,2
2025-01-17,PROD006,ALM01,Entrada,102
2025-01-17,PROD023,ALM01,Entrada,146
2025-01-17,PROD049,ALM01,Salida,20
2025-01-17,PROD050,ALM02,Salida,3
2025-01-17,PROD003,ALM03,Salida,24
2025-01-17,PROD047,ALM01,Salida,24
2025-01-17,PROD037,ALM02,Salida,14
2025-01-17,PROD003,ALM03,Salida,24
2025-01-17,PROD003,ALM01,Entrada,236
2025-01-17,PROD009,ALM03,Salida,10
2025-01-17,PROD011,ALM03,Salida,5
2025-01-17,PROD038,ALM03,Salida,15
2025-01-17,PROD006,ALM01,Salida,18
2025-01-17,PROD028,ALM01,Salida,13
2025-01-17,PROD040,ALM01,Devolución,18
2025-01-17,PROD003,ALM02,Salida,19
2025-01-18,PROD033,ALM02,Salida,13
2025-01-18,PROD040,ALM01,Salida,16
2025-01-18,PROD041,ALM01,Entrada,147
2025-01-18,PROD042,ALM03,Salida,21
2025-01-18,PROD005,ALM03,Salida,7
2025-01-18,PROD031,ALM03,Devolución,19
2025-01-18,PROD043,ALM01,Entrada,259
2025-01-18,PROD036,ALM02,Salida,18
2025-01-18,PROD039,ALM02,Salida,12
2025-01-18,PROD027,ALM01,Salida,14
2025-01-18,PROD031,ALM02,Salida,8
2025-01-18,PROD045,ALM03,Salida,24
2025-01-18,PROD007,ALM02,Entrada,257
2025-01-18,PROD028,ALM03,Salida,2
2025-01-18,PROD004,ALM02,Devolución,22
2025-01-18,PROD012,ALM02,Devolución,17
2025-01-18,PROD001,ALM02,Salida,22
2025-01-19,PROD029,ALM03,Salida,15
2025-01-19,PROD012,ALM03,Entrada,224
2025-01-19,PROD006,ALM03,Entrada,132
2025-01-19,PROD011,ALM02,Salida,19
2025-01-19,PROD034,ALM01,Entrada,273
2025-01-19,PROD013,ALM01,Devolución,3
2025-01-19,PROD029,ALM01,Entrada,218
2025-01-19,PROD047,ALM02,Salida,2
2025-01-19,PROD027,ALM03,Salida,11
2025-01-19,PROD028,ALM01,Devolución,12
2025-01-19,PROD037,ALM03,Devolución,16
2025-01-19,PROD005,ALM03,Devolución,19
2025-01-19,PROD015,ALM02,Salida,6
2025-01-19,PROD025,ALM02,Salida,17
2025-01-19,PROD027,ALM02,Salida,16
2025-01-19,PROD008,ALM03,Salida,21
2025-01-19,PROD007,ALM03,Salida,18
2025-01-19,PROD024,ALM02,Salida,12
2025-01-19,PROD015,ALM01,Salida,14
2025-01-19,PROD017,ALM02,Entrada,298
2025-01-19,PROD009,ALM02,Salida,4
2025-01-19,PROD002,ALM03,Salida,22
2025-01-19,PROD008,ALM01,Devolución,17
2025-01-19,PROD018,ALM02,Entrada,163
2025-01-19,PROD032,ALM03,Devolución,6
2025-01-19,PROD038,ALM01,Salida,1
2025-01-19,PROD024,ALM01,Entrada,278
2025-01-20,PROD032,ALM03,Entrada,145
2025-01-20,PROD028,ALM01,Salida,22
2025-01-20,PROD033,ALM02,Salida,18
2025-01-20,PROD013,ALM02,Salida,9
2025-01-20,PROD026,ALM02,Entrada,215
2025-01-20,PROD039,ALM02,Salida,6
2025-01-20,PROD015,ALM02,Salida,18
2025-01-20,PROD049,ALM03,Entrada,271
2025-01-20,PROD006,ALM01,Entrada,222
2025-01-20,PROD031,ALM01,Devolución,7
2025-01-20,PROD008,ALM02,Salida,8
2025-01-20,PROD047,ALM03,Salida,20
2025-01-20,PROD020,ALM02,Salida,11
2025-01-20,PROD041,ALM02,Salida,3
2025-01-20,PROD012,ALM03,Salida,18
2025-01-20,PROD019,ALM03,Salida,13
2025-01-20,PROD008,ALM01,Salida,13
2025-01-20,PROD032,ALM03,Salida,23
2025-01-20,PROD018,ALM03,Entrada,297
2025-01-20,PROD041,ALM03,Salida,24
2025-01-20,PROD035,ALM01,Salida,10
2025-01-20,PROD015,ALM01,Entrada,290
2025-01-20,PROD030,ALM01,Salida,17
2025-01-20,PROD020,ALM01,Salida,24
2025-01-20,PROD020,ALM02,Salida,12
2025-01-20,PROD036,ALM02,Salida,9
2025-01-21,PROD002,ALM03,Salida,4
2025-01-21,PROD039,ALM02,Devolución,6
2025-01-21,PROD012,ALM03,Devolución,22
2025-01-21,PROD021,ALM03,Salida,8
2025-01-21,PROD036,ALM02,Salida,8
2025-01-21,PROD014,ALM02,Entrada,271
2025-01-21,PROD005,ALM02,Salida,5
2025-01-21,PROD047,ALM02,Salida,22
2025-01-21,PROD002,ALM03,Salida,20
2025-01-21,PROD025,ALM01,Entrada,222
2025-01-21,PROD037,ALM01,Salida,3
2025-01-21,PROD012,ALM01,Salida,8
2025-01-21,PROD010,ALM03,Salida,11
2025-01-21,PROD010,ALM01,Salida,16
2025-01-21,PROD001,ALM01,Salida,9
2025-01-21,PROD012,ALM01,Salida,11
2025-01-21,PROD020,ALM01,Salida,22
2025-01-21,PROD037,ALM01,Salida,15
2025-01-21,PROD044,ALM03,Salida,24
2025-01-21,PROD020,ALM02,Salida,12
2025-01-21,PROD037,ALM02,Devolución,9
2025-01-21,PROD035,ALM02,Entrada,218
2025-01-21,PROD005,ALM01,Entrada,158
2025-01-21,PROD012,ALM02,Salida,14
2025-01-21,PROD024,ALM03,Salida,18
2025-01-21,PROD029,ALM01,Entrada,149
2025-01-21,PROD047,ALM03,Salida,24
2025-01-21,PROD038,ALM03,Salida,12
2025-01-21,PROD016,ALM02,Entrada,144
2025-01-21,PROD008,ALM02,Salida,23
2025-01-22,PROD029,ALM02,Entrada,107
2025-01-22,PROD047,ALM02,Salida,22
2025-01-22,PROD026,ALM03,Salida,23
2025-01-22,PROD018,ALM01,Salida,18
2025-01-22,PROD040,ALM01,Salida,15
2025-01-22,PROD025,ALM02,Entrada,171
2025-01-22,PROD019,ALM03,Devolución,1
2025-01-22,PROD048,ALM01,Salida,21
2025-01-22,PROD050,ALM02,Salida,2
2025-01-22,PROD041,ALM01,Salida,1
2025-01-22,PROD013,ALM03,Salida,9
2025-01-22,PROD034,ALM01,Salida,4
2025-01-22,PROD038,ALM03,Salida,4
2025-01-22,PROD013,ALM01,Salida,18
2025-01-22,PROD011,ALM01,Salida,13
2025-01-22,PROD007,ALM01,Entrada,153
2025-01-22,PROD012,ALM02,Salida,1
2025-01-22,PROD019,ALM01,Salida,21
2025-01-22,PROD032,ALM01,Salida,17
2025-01-22,PROD026,ALM03,Salida,6
2025-01-22,PROD014,ALM02,Salida,14
2025-01-22,PROD003,ALM01,Salida,9
2025-01-22,PROD002,ALM02,Salida,16
2025-01-22,PROD005,ALM02,Devolución,12
2025-01-22,PROD044,ALM03,Salida,15
2025-01-22,PROD006,ALM02,Salida,23
2025-01-22,PROD045,ALM01,Salida,11
2025-01-22,PROD047,ALM01,Entrada,179
2025-01-22,PROD011,ALM03,Salida,4
2025-01-22,PROD013,ALM02,Entrada,120
2025-01-23,PROD004,ALM01,Entrada,224
2025-01-23,PROD028,ALM03,Salida,15
2025-01-23,PROD036,ALM02,Salida,10
2025-01-23,PROD013,ALM02,Salida,17
2025-01-23,PROD031,ALM02,Entrada,106
2025-01-23,PROD049,ALM02,Salida,7
2025-01-23,PROD036,ALM02,Entrada,283
2025-01-23,PROD044,ALM01,Salida,1
2025-01-23,PROD022,ALM02,Salida,13
2025-01-23,PROD026,ALM01,Salida,9
2025-01-23,PROD042,ALM01,Salida,24
2025-01-23,PROD004,ALM02,Salida,5
2025-01-23,PROD039,ALM02,Salida,4
2025-01-23,PROD036,ALM02,Salida,19
2025-01-23,PROD005,ALM03,Salida,18
2025-01-23,PROD034,ALM01,Salida,12
2025-01-23,PROD022,ALM01,Salida,17
2025-01-23,PROD032,ALM03,Salida,7
2025-01-23,PROD013,ALM01,Salida,14
2025-01-23,PROD002,ALM03,Entrada,252
2025-01-23,PROD003,ALM02,Salida,18
2025-01-23,PROD041,ALM01,Salida,7
2025-01-23,PROD046,ALM03,Entrada,123
2025-01-23,PROD042,ALM03,Salida,6
2025-01-23,PROD040,ALM01,Salida,4
2025-01-23,PROD009,ALM01,Salida,3
2025-01-23,PROD039,ALM01,Salida,9
2025-01-23,PROD005,ALM03,Salida,2
2025-01-24,PROD050,ALM03,Salida,8
2025-01-24,PROD022,ALM02,Salida,3
2025-01-24,PROD002,ALM02,Entrada,271
2025-01-24,PROD023,ALM02,Salida,2
2025-01-24,PROD044,ALM02,Salida,22
2025-01-24,PROD029,ALM03,Devolución,13
2025-01-24,PROD016,ALM02,Salida,23
2025-01-24,PROD016,ALM01,Entrada,220
2025-01-24,PROD020,ALM03,Salida,8
2025-01-24,PROD023,ALM03,Devolución,13
2025-01-24,PROD020,ALM01,Entrada,104
2025-01-24,PROD020,ALM02,Salida,21
2025-01-24,PROD039,ALM01,Salida,8
2025-01-24,PROD038,ALM02,Salida,12
2025-01-24,PROD033,ALM03,Entrada,135
2025-01-24,PROD041,ALM01,Salida,2
2025-01-24,PROD001,ALM03,Salida,9
2025-01-24,PROD026,ALM02,Salida,23
2025-01-24,PROD022,ALM03,Salida,3
2025-01-24,PROD042,ALM03,Salida,5
2025-01-24,PROD018,ALM01,Salida,6
2025-01-24,PROD042,ALM02,Salida,24
2025-01-24,PROD016,ALM03,Salida,3
2025-01-24,PROD015,ALM01,Salida,9
2025-01-24,PROD002,ALM03,Entrada,190
2025-01-24,PROD018,ALM02,Salida,20
2025-01-24,PROD033,ALM03,Salida,22
2025-01-24,PROD016,ALM02,Salida,14
2025-01-24,PROD003,ALM03,Salida,20
2025-01-24,PROD034,ALM01,Salida,13
2025-01-25,PROD004,ALM01,Salida,15
2025-01-25,PROD031,ALM02,Salida,13
2025-01-25,PROD032,ALM01,Salida,6
2025-01-25,PROD023,ALM03,Entrada,229
2025-01-25,PROD019,ALM02,Salida,5
2025-01-25,PROD011,ALM02,Salida,2
2025-01-25,PROD015,ALM01,Entrada,155
2025-01-25,PROD035,ALM01,Salida,9
2025-01-25,PROD046,ALM03,Entrada,289
2025-01-25,PROD033,ALM03,Entrada,243
2025-01-25,PROD039,ALM01,Salida,5
2025-01-26,PROD039,ALM02,Salida,6
2025-01-26,PROD035,ALM03,Entrada,215
2025-01-26,PROD014,ALM03,Salida,22
2025-01-26,PROD005,ALM02,Salida,22
2025-01-26,PROD038,ALM03,Salida,21
2025-01-26,PROD039,ALM01,Salida,23
2025-01-26,PROD026,ALM02,Salida,21
2025-01-26,PROD018,ALM01,Salida,21
2025-01-26,PROD017,ALM03,Devolución,4
2025-01-26,PROD021,ALM03,Salida,11
2025-01-26,PROD034,ALM02,Entrada,295
2025-01-26,PROD029,ALM01,Salida,9
2025-01-26,PROD042,ALM01,Salida,21
2025-01-26,PROD017,ALM01,Entrada,291
2025-01-26,PROD048,ALM01,Devolución,2
2025-01-26,PROD040,ALM01,Salida,18
2025-01-26,PROD034,ALM03,Salida,23
2025-01-26,PROD015,ALM01,Salida,17
2025-01-26,PROD045,ALM03,Entrada,187
2025-01-26,PROD001,ALM03,Entrada,271
2025-01-26,PROD008,ALM01,Salida,13
2025-01-26,PROD045,ALM03,Salida,1
2025-01-26,PROD017,ALM01,Entrada,251
2025-01-26,PROD031,ALM02,Salida,8
2025-01-26,PROD015,ALM03,Devolución,20
2025-01-26,PROD043,ALM02,Salida,19
2025-01-26,PROD032,ALM02,Entrada,193
2025-01-26,PROD028,ALM01,Entrada,211
2025-01-26,PROD025,ALM01,Salida,8
2025-01-27,PROD049,ALM02,Salida,3
2025-01-27,PROD041,ALM01,Salida,9
2025-01-27,PROD010,ALM01,Salida,18
2025-01-27,PROD040,ALM02,Entrada,190
2025-01-27,PROD032,ALM03,Salida,21
2025-01-27,PROD011,ALM02,Salida,2
2025-01-27,PROD018,ALM03,Salida,8
2025-01-27,PROD014,ALM02,Entrada,158
2025-01-27,PROD030,ALM01,Salida,22
2025-01-27,PROD046,ALM01,Salida,19
2025-01-27,PROD032,ALM02,Salida,3
2025-01-28,PROD047,ALM02,Salida,9
2025-01-28,PROD008,ALM02,Salida,21
2025-01-28,PROD023,ALM03,Salida,7
2025-01-28,PROD043,ALM01,Salida,22
2025-01-28,PROD018,ALM02,Devolución,13
2025-01-28,PROD027,ALM02,Entrada,279
2025-01-28,PROD023,ALM01,Salida,19
2025-01-28,PROD033,ALM03,Salida,5
2025-01-28,PROD023,ALM01,Salida,19
2025-01-28,PROD047,ALM01,Entrada,207
2025-01-28,PROD008,ALM02,Salida,15
2025-01-28,PROD001,ALM01,Salida,8
2025-01-28,PROD040,ALM03,Salida,4
2025-01-28,PROD034,ALM03,Salida,10
2025-01-28,PROD046,ALM03,Salida,21
2025-01-28,PROD041,ALM01,Salida,2
2025-01-29,PROD042,ALM02,Salida,22
2025-01-29,PROD017,ALM02,Salida,12
2025-01-29,PROD020,ALM03,Salida,2
