Fecha,Hotel_ID,Habitaciones_Vendidas,Habitaciones_Disponibles,Ingresos_Habitacion,ADR,Costos_Variables,Canal_Principal,Lead_Time_Promedio,RevPAR,Occupancy_%
2024-02-04,Luxury Resort,120,120,77354.0,644.62,9600,Corporativo,5,644.6166666666667,1.0
2024-02-04,Midscale City,250,250,71231.07,284.92,11250,OTA,14,284.92428,1.0
2024-02-04,Economy Stay,93,100,11909.23,128.06,2325,Agencias,16,119.0923,0.93
2024-02-05,Luxury Resort,97,120,72038.25,742.66,7760,OTA,1,600.31875,0.8083333333333333
2024-02-05,Midscale City,150,250,35447.69,236.32,6750,Agencias,8,141.79076,0.6
2024-02-05,Economy Stay,68,100,6938.53,102.04,1700,Agencias,2,69.3853,0.68
2024-02-06,Luxury Resort,91,120,48988.15,538.33,7280,Agencias,1,408.2345833333333,0.7583333333333333
2024-02-06,Midscale City,151,250,37608.52,249.06,6795,Directo,18,150.43408,0.604
2024-02-06,Economy Stay,60,100,7275.28,121.25,1500,OTA,7,72.7528,0.6
2024-02-07,Luxury Resort,98,120,74949.78,764.79,7840,Agencias,64,624.5815,0.8166666666666667
2024-02-07,Midscale City,173,250,37109.86,214.51,7785,OTA,22,148.43944,0.692
2024-02-07,Economy Stay,70,100,8363.63,119.48,1750,OTA,1,83.63629999999999,0.7
2024-02-08,Luxury Resort,70,120,40693.33,581.33,5600,Directo,0,339.11108333333334,0.5833333333333334
2024-02-08,Midscale City,154,250,37111.39,240.98,6930,OTA,20,148.44556,0.616
2024-02-08,Economy Stay,86,100,11118.21,129.28,2150,Agencias,5,111.18209999999999,0.86
2024-02-09,Luxury Resort,108,120,82839.94,767.04,8640,Corporativo,0,690.3328333333334,0.9
2024-02-09,Midscale City,207,250,62672.69,302.77,9315,Corporativo,11,250.69076,0.828
2024-02-09,Economy Stay,84,100,11258.37,134.03,2100,OTA,52,112.58370000000001,0.84
2024-02-10,Luxury Resort,120,120,87537.97,729.48,9600,OTA,9,729.4830833333333,1.0
2024-02-10,Midscale City,250,250,75832.26,303.33,11250,Directo,0,303.32903999999996,1.0
2024-02-10,Economy Stay,100,100,14294.98,142.95,2500,OTA,9,142.94979999999998,1.0
2024-02-11,Luxury Resort,111,120,73061.56,658.21,8880,OTA,9,608.8463333333333,0.925
2024-02-11,Midscale City,250,250,64271.39,257.09,11250,Corporativo,54,257.08556,1.0
2024-02-11,Economy Stay,100,100,13355.73,133.56,2500,Agencias,5,133.5573,1.0
2024-02-12,Luxury Resort,94,120,51279.46,545.53,7520,Agencias,36,427.3288333333333,0.7833333333333333
2024-02-12,Midscale City,215,250,63097.43,293.48,9675,OTA,14,252.38972,0.86
2024-02-12,Economy Stay,85,100,12096.18,142.31,2125,Directo,0,120.9618,0.85
2024-02-13,Luxury Resort,83,120,51570.78,621.33,6640,Directo,65,429.7565,0.6916666666666667
2024-02-13,Midscale City,189,250,43172.46,228.43,8505,Agencias,52,172.68984,0.756
2024-02-13,Economy Stay,83,100,10936.89,131.77,2075,Directo,8,109.3689,0.83
2024-02-14,Luxury Resort,72,120,45192.42,627.67,5760,Corporativo,25,376.6035,0.6
2024-02-14,Midscale City,219,250,62176.96,283.91,9855,Corporativo,21,248.70784,0.876
2024-02-14,Economy Stay,83,100,10449.67,125.9,2075,Directo,8,104.4967,0.83
2024-02-15,Luxury Resort,103,120,73841.41,716.91,8240,OTA,3,615.3450833333334,0.8583333333333333
2024-02-15,Midscale City,191,250,43426.14,227.36,8595,OTA,1,173.70456,0.764
2024-02-15,Economy Stay,73,100,8505.83,116.52,1825,Agencias,11,85.0583,0.73
2024-02-16,Luxury Resort,120,120,85266.68,710.56,9600,OTA,31,710.5556666666666,1.0
2024-02-16,Midscale City,216,250,54936.67,254.34,9720,OTA,21,219.74668,0.864
2024-02-16,Economy Stay,100,100,12498.78,124.99,2500,Directo,2,124.98780000000001,1.0
2024-02-17,Luxury Resort,114,120,81467.19,714.62,9120,OTA,7,678.89325,0.95
2024-02-17,Midscale City,250,250,68069.51,272.28,11250,Agencias,10,272.27804,1.0
2024-02-17,Economy Stay,97,100,13176.26,135.84,2425,Corporativo,29,131.7626,0.97
2024-02-18,Luxury Resort,104,120,79236.86,761.89,8320,Directo,10,660.3071666666667,0.8666666666666667
2024-02-18,Midscale City,249,250,76631.9,307.76,11205,OTA,10,306.52759999999995,0.996
2024-02-18,Economy Stay,100,100,12570.87,125.71,2500,Directo,1,125.70870000000001,1.0
2024-02-19,Luxury Resort,74,120,40276.17,544.27,5920,OTA,2,335.63475,0.6166666666666667
2024-02-19,Midscale City,159,250,36057.58,226.78,7155,OTA,34,144.23032,0.636
2024-02-19,Economy Stay,78,100,8054.14,103.26,1950,Directo,3,80.54140000000001,0.78
2024-02-20,Luxury Resort,76,120,42491.23,559.1,6080,Directo,2,354.09358333333336,0.6333333333333333
2024-02-20,Midscale City,155,250,35985.49,232.16,6975,OTA,3,143.94196,0.62
2024-02-20,Economy Stay,73,100,8373.66,114.71,1825,Agencias,0,83.7366,0.73
2024-02-21,Luxury Resort,92,120,49318.05,536.07,7360,Corporativo,31,410.98375000000004,0.7666666666666667
2024-02-21,Midscale City,150,250,33533.68,223.56,6750,Agencias,24,134.13472,0.6
2024-02-21,Economy Stay,63,100,6556.83,104.08,1575,OTA,6,65.5683,0.63
2024-02-22,Luxury Resort,91,120,51839.32,569.66,7280,Agencias,9,431.9943333333333,0.7583333333333333
2024-02-22,Midscale City,148,250,32917.28,222.41,6660,Agencias,18,131.66912,0.592
2024-02-22,Economy Stay,73,100,8118.31,111.21,1825,OTA,1,81.18310000000001,0.73
2024-02-23,Luxury Resort,120,120,79901.14,665.84,9600,OTA,4,665.8428333333334,1.0
2024-02-23,Midscale City,205,250,55515.63,270.81,9225,OTA,3,222.06251999999998,0.82
2024-02-23,Economy Stay,86,100,12294.28,142.96,2150,OTA,13,122.9428,0.86
2024-02-24,Luxury Resort,120,120,84213.75,701.78,9600,OTA,1,701.78125,1.0
2024-02-24,Midscale City,250,250,73645.97,294.58,11250,Directo,8,294.58388,1.0
2024-02-24,Economy Stay,92,100,11865.14,128.97,2300,OTA,15,118.6514,0.92
2024-02-25,Luxury Resort,114,120,87814.97,770.31,9120,Directo,13,731.7914166666667,0.95
2024-02-25,Midscale City,213,250,55657.87,261.3,9585,Directo,4,222.63148,0.852
2024-02-25,Economy Stay,88,100,11167.26,126.9,2200,Agencias,2,111.6726,0.88
2024-02-26,Luxury Resort,73,120,42914.35,587.87,5840,Corporativo,7,357.6195833333333,0.6083333333333333
2024-02-26,Midscale City,154,250,35299.82,229.22,6930,Agencias,52,141.19928,0.616
2024-02-26,Economy Stay,82,100,10346.73,126.18,2050,OTA,2,103.4673,0.82
2024-02-27,Luxury Resort,102,120,72416.89,709.97,8160,Directo,12,603.4740833333333,0.85
2024-02-27,Midscale City,202,250,53171.32,263.22,9090,OTA,5,212.68528,0.808
2024-02-27,Economy Stay,73,100,7650.93,104.81,1825,OTA,1,76.5093,0.73
2024-02-28,Luxury Resort,80,120,47560.39,594.5,6400,OTA,2,396.33658333333335,0.6666666666666666
2024-02-28,Midscale City,185,250,39409.69,213.03,8325,Directo,6,157.63876000000002,0.74
2024-02-28,Economy Stay,60,100,7279.69,121.33,1500,Agencias,5,72.7969,0.6
2024-02-29,Luxury Resort,79,120,47892.63,606.24,6320,OTA,21,399.10524999999996,0.6583333333333333
2024-02-29,Midscale City,180,250,41377.35,229.87,8100,Corporativo,6,165.5094,0.72
2024-02-29,Economy Stay,82,100,11884.47,144.93,2050,Agencias,1,118.84469999999999,0.82
2024-03-01,Luxury Resort,110,120,55613.05,505.57,8800,Agencias,1,463.44208333333336,0.9166666666666666
2024-03-01,Midscale City,201,250,46384.17,230.77,9045,Agencias,2,185.53668,0.804
2024-03-01,Economy Stay,68,100,5391.19,79.28,1700,Agencias,2,53.911899999999996,0.68
2024-03-02,Luxury Resort,99,120,53706.62,542.49,7920,Agencias,6,447.5551666666667,0.825
2024-03-02,Midscale City,186,250,35599.95,191.4,8370,OTA,8,142.3998,0.744
2024-03-02,Economy Stay,76,100,6203.38,81.62,1900,OTA,20,62.0338,0.76
2024-03-03,Luxury Resort,83,120,40334.82,485.96,6640,OTA,7,336.1235,0.6916666666666667
2024-03-03,Midscale City,227,250,50250.33,221.37,10215,Corporativo,1,201.00132000000002,0.908
2024-03-03,Economy Stay,82,100,8087.83,98.63,2050,Agencias,2,80.8783,0.82
2024-03-04,Luxury Resort,70,120,31710.8,453.01,5600,Agencias,33,264.25666666666666,0.5833333333333334
2024-03-04,Midscale City,121,250,20959.86,173.22,5445,Agencias,4,83.83944,0.484
2024-03-04,Economy Stay,45,100,3878.47,86.19,1125,Agencias,21,38.7847,0.45
2024-03-05,Luxury Resort,63,120,30171.53,478.91,5040,Agencias,1,251.42941666666667,0.525
2024-03-05,Midscale City,119,250,20979.98,176.3,5355,Directo,23,83.91992,0.476
2024-03-05,Economy Stay,50,100,4438.91,88.78,1250,OTA,19,44.3891,0.5
2024-03-06,Luxury Resort,72,120,32676.85,453.85,5760,OTA,4,272.3070833333333,0.6
2024-03-06,Midscale City,122,250,23753.91,194.7,5490,OTA,13,95.01564,0.488
2024-03-06,Economy Stay,55,100,5093.21,92.6,1375,OTA,2,50.9321,0.55
2024-03-07,Luxury Resort,67,120,30822.07,460.03,5360,Agencias,0,256.8505833333333,0.5583333333333333
2024-03-07,Midscale City,164,250,29904.55,182.34,7380,Corporativo,17,119.6182,0.656
2024-03-07,Economy Stay,60,100,4745.59,79.09,1500,OTA,12,47.4559,0.6
2024-03-08,Luxury Resort,90,120,42415.2,471.28,7200,Corporativo,40,353.46,0.75
2024-03-08,Midscale City,191,250,31720.62,166.08,8595,Agencias,62,126.88248,0.764
2024-03-08,Economy Stay,66,100,6082.18,92.15,1650,OTA,30,60.8218,0.66
2024-03-09,Luxury Resort,97,120,51321.95,529.09,7760,OTA,0,427.68291666666664,0.8083333333333333
2024-03-09,Midscale City,218,250,42422.82,194.6,9810,OTA,6,169.69128,0.872
2024-03-09,Economy Stay,79,100,7278.87,92.14,1975,OTA,6,72.7887,0.79
2024-03-10,Luxury Resort,102,120,54553.63,534.84,8160,OTA,3,454.61358333333334,0.85
2024-03-10,Midscale City,167,250,28114.44,168.35,7515,OTA,10,112.45776,0.668
2024-03-10,Economy Stay,91,100,9026.55,99.19,2275,OTA,13,90.26549999999999,0.91
2024-03-11,Luxury Resort,54,120,25094.79,464.72,4320,Corporativo,2,209.12325,0.45
2024-03-11,Midscale City,120,250,21231.18,176.93,5400,Corporativo,1,84.92472000000001,0.48
2024-03-11,Economy Stay,56,100,4850.81,86.62,1400,Agencias,1,48.508100000000006,0.56
2024-03-12,Luxury Resort,59,120,28663.67,485.82,4720,Directo,3,238.86391666666665,0.49166666666666664
2024-03-12,Midscale City,114,250,20405.36,178.99,5130,Directo,12,81.62144,0.456
2024-03-12,Economy Stay,62,100,5220.77,84.21,1550,OTA,11,52.2077,0.62
2024-03-13,Luxury Resort,64,120,29143.53,455.37,5120,Directo,2,242.86274999999998,0.5333333333333333
2024-03-13,Midscale City,160,250,31369.63,196.06,7200,Directo,7,125.47852,0.64
2024-03-13,Economy Stay,59,100,4923.46,83.45,1475,Directo,0,49.2346,0.59
2024-03-14,Luxury Resort,73,120,33894.13,464.3,5840,Directo,0,282.4510833333333,0.6083333333333333
2024-03-14,Midscale City,125,250,23273.52,186.19,5625,Directo,0,93.09408,0.5
2024-03-14,Economy Stay,62,100,4931.19,79.54,1550,Directo,15,49.311899999999994,0.62
2024-03-15,Luxury Resort,78,120,33297.07,426.89,6240,Agencias,19,277.4755833333333,0.65
2024-03-15,Midscale City,221,250,46754.39,211.56,9945,Directo,16,187.01756,0.884
2024-03-15,Economy Stay,71,100,6513.38,91.74,1775,Directo,0,65.13380000000001,0.71
2024-03-16,Luxury Resort,82,120,33405.81,407.39,6560,OTA,3,278.38174999999995,0.6833333333333333
2024-03-16,Midscale City,189,250,36691.74,194.14,8505,OTA,25,146.76695999999998,0.756
2024-03-16,Economy Stay,70,100,5806.83,82.95,1750,Directo,13,58.0683,0.7
2024-03-17,Luxury Resort,98,120,51961.21,530.22,7840,OTA,12,433.01008333333334,0.8166666666666667
2024-03-17,Midscale City,179,250,35109.83,196.14,8055,Directo,21,140.43932,0.716
2024-03-17,Economy Stay,89,100,9055.18,101.74,2225,Agencias,33,90.5518,0.89
2024-03-18,Luxury Resort,65,120,26456.45,407.02,5200,OTA,4,220.47041666666667,0.5416666666666666
2024-03-18,Midscale City,148,250,25350.03,171.28,6660,Agencias,2,101.40012,0.592
2024-03-18,Economy Stay,67,100,5724.26,85.44,1675,Directo,2,57.2426,0.67
2024-03-19,Luxury Resort,54,120,26313.49,487.29,4320,OTA,1,219.27908333333335,0.45
2024-03-19,Midscale City,127,250,23107.7,181.95,5715,Agencias,15,92.4308,0.508
2024-03-19,Economy Stay,49,100,3757.66,76.69,1225,Corporativo,2,37.5766,0.49
2024-03-20,Luxury Resort,77,120,35325.07,458.77,6160,OTA,13,294.37558333333334,0.6416666666666667
2024-03-20,Midscale City,122,250,23780.1,194.92,5490,OTA,8,95.12039999999999,0.488
2024-03-20,Economy Stay,56,100,4328.71,77.3,1400,Agencias,2,43.2871,0.56
2024-03-21,Luxury Resort,56,120,25719.89,459.28,4480,OTA,4,214.33241666666666,0.4666666666666667
2024-03-21,Midscale City,128,250,22374.94,174.8,5760,Directo,19,89.49976,0.512
2024-03-21,Economy Stay,57,100,4821.79,84.59,1425,Corporativo,16,48.2179,0.57
2024-03-22,Luxury Resort,102,120,51939.78,509.21,8160,Directo,0,432.8315,0.85
2024-03-22,Midscale City,202,250,39717.56,196.62,9090,OTA,10,158.87024,0.808
2024-03-22,Economy Stay,72,100,6451.6,89.61,1800,Directo,1,64.516,0.72
2024-03-23,Luxury Resort,102,120,55030.33,539.51,8160,OTA,17,458.58608333333336,0.85
2024-03-23,Midscale City,175,250,33510.34,191.49,7875,OTA,24,134.04136,0.7
2024-03-23,Economy Stay,71,100,6143.91,86.53,1775,Directo,6,61.439099999999996,0.71
2024-03-24,Luxury Resort,109,120,54584.63,500.78,8720,OTA,45,454.87191666666666,0.9083333333333333
2024-03-24,Midscale City,170,250,30856.43,181.51,7650,Agencias,30,123.42572,0.68
2024-03-24,Economy Stay,87,100,9155.81,105.24,2175,Agencias,17,91.5581,0.87
2024-03-25,Luxury Resort,60,120,26942.89,449.05,4800,Corporativo,3,224.52408333333332,0.5
2024-03-25,Midscale City,165,250,26964.2,163.42,7425,Corporativo,18,107.8568,0.66
2024-03-25,Economy Stay,49,100,4221.6,86.16,1225,Directo,37,42.216,0.49
2024-03-26,Luxury Resort,72,120,31086.82,431.76,5760,Corporativo,38,259.0568333333333,0.6
2024-03-26,Midscale City,165,250,29546.83,179.07,7425,Agencias,29,118.18732000000001,0.66
2024-03-26,Economy Stay,52,100,4710.76,90.59,1300,OTA,0,47.107600000000005,0.52
2024-03-27,Luxury Resort,60,120,24951.06,415.85,4800,OTA,1,207.9255,0.5
2024-03-27,Midscale City,131,250,24640.0,188.09,5895,OTA,1,98.56,0.524
2024-03-27,Economy Stay,57,100,5126.71,89.94,1425,OTA,5,51.2671,0.57
2024-03-28,Luxury Resort,77,120,35452.93,460.43,6160,Directo,3,295.4410833333333,0.6416666666666667
2024-03-28,Midscale City,161,250,26205.28,162.77,7245,OTA,31,104.82112,0.644
2024-03-28,Economy Stay,66,100,5945.23,90.08,1650,OTA,92,59.452299999999994,0.66
2024-03-29,Luxury Resort,103,120,54529.08,529.41,8240,OTA,9,454.409,0.8583333333333333
2024-03-29,Midscale City,224,250,53068.38,236.91,10080,OTA,21,212.27352,0.896
2024-03-29,Economy Stay,75,100,6677.92,89.04,1875,Directo,4,66.7792,0.75
2024-03-30,Luxury Resort,88,120,37914.93,430.85,7040,Directo,5,315.95775,0.7333333333333333
2024-03-30,Midscale City,159,250,25860.31,162.64,7155,OTA,65,103.44124000000001,0.636
2024-03-30,Economy Stay,74,100,6516.0,88.05,1850,Corporativo,3,65.16,0.74
2024-03-31,Luxury Resort,104,120,51548.26,495.66,8320,Agencias,8,429.5688333333334,0.8666666666666667
2024-03-31,Midscale City,230,250,49356.1,214.59,10350,Directo,14,197.4244,0.92
2024-03-31,Economy Stay,93,100,8976.93,96.53,2325,OTA,42,89.7693,0.93
2024-04-01,Luxury Resort,70,120,31579.94,451.14,5600,Directo,3,263.16616666666664,0.5833333333333334
2024-04-01,Midscale City,124,250,20920.26,168.71,5580,OTA,22,83.68104,0.496
2024-04-01,Economy Stay,46,100,4276.84,92.97,1150,Corporativo,32,42.7684,0.46
2024-04-02,Luxury Resort,80,120,33652.05,420.65,6400,Agencias,7,280.43375000000003,0.6666666666666666
2024-04-02,Midscale City,151,250,25298.58,167.54,6795,Directo,25,101.19432,0.604
2024-04-02,Economy Stay,50,100,4281.43,85.63,1250,OTA,13,42.8143,0.5
2024-04-03,Luxury Resort,56,120,27102.4,483.97,4480,Directo,4,225.85333333333335,0.4666666666666667
2024-04-03,Midscale City,162,250,31817.36,196.4,7290,Agencias,29,127.26944,0.648
2024-04-03,Economy Stay,59,100,5066.01,85.86,1475,OTA,1,50.6601,0.59
2024-04-04,Luxury Resort,64,120,27416.18,428.38,5120,OTA,19,228.46816666666666,0.5333333333333333
2024-04-04,Midscale City,117,250,19881.41,169.93,5265,Directo,17,79.52564,0.468
2024-04-04,Economy Stay,64,100,5434.72,84.92,1600,OTA,9,54.3472,0.64
2024-04-05,Luxury Resort,105,120,54974.16,523.56,8400,OTA,16,458.11800000000005,0.875
2024-04-05,Midscale City,177,250,34272.63,193.63,7965,OTA,23,137.09052,0.708
2024-04-05,Economy Stay,89,100,9744.86,109.49,2225,Agencias,18,97.4486,0.89
2024-04-06,Luxury Resort,101,120,56504.98,559.46,8080,Agencias,14,470.87483333333336,0.8416666666666667
2024-04-06,Midscale City,168,250,32543.51,193.71,7560,Directo,30,130.17404,0.672
